pincode,state,district,latitude,longitude
505532,Telangana,Jagtial,18.7906583,79.0509519
505450,TELANGANA,Jagitial,18.9632340,78.5991950
505303,Telangana,Rajanna Sircilla,18.528773,78.6664658
505452,Telangana,Jagtial,18.7058793,78.9392218
505454,Telangana,Jagtial,18.8956545,79.005665
505403,Telangana,Rajanna Sircilla,18.4996227,78.7951583
505325,Telangana,Jagtial,18.846693,78.6227235
502295,Telangana,Sangareddy,17.5891748,78.083107
502291,Telangana,Sangareddy,17.6192759,77.9682597
505404,Telangana,Rajanna Sircilla,18.2948434,78.7114995
503217,Telangana,Nizamabad,18.8717374,78.3404186
505331,Telangana,Jagtial,18.9274179,78.7009813
505455,Telangana,Jagtial,18.7825336,78.9102982
503120,Telangana,Kamareddy,18.260892,78.2520234
505529,Telangana,Jagtial,18.8507172,78.9484447
505305,Telangana,Rajanna Sircilla,18.455222,78.6575225
505460,Telangana,Jagtial,18.9158799,78.8202371
505307,Telangana,Rajanna Sircilla,18.6256549,78.7010401
505462,Telangana,Jagtial,18.907979,78.5864255
505301,Telangana,Rajanna Sircilla,18.3951536,78.8065175
505405,Telangana,Rajanna Sircilla,18.26632,78.84596
502293,Telangana,Sangareddy,17.7393625,77.9890513
503305,Telangana,Kamareddy,18.316883,78.335682
505466,Telangana,Siddipet,18.0396462,79.2374083
505528,Telangana,Siddipet,18.25118,79.02046
505524,Telangana,Rajanna Sircilla,18.4827577,78.6918484
505415,Telangana,Karimnagar,18.5290699,79.1547091
505401,Telangana,Rajanna Sircilla,18.4827577,78.6918484
505526,Telangana,Karimnagar,18.6453317,79.0688349
505445,Telangana,Karimnagar,18.5704577,78.9970407
505467,Telangana,Siddipet,18.1496958,79.2167398
503101,Telangana,Kamareddy,18.1883539,78.39952
505501,Telangana,Jagtial,18.6119233,78.9303156
506102,TELANGANA,MAHABUBABAD,17.579708,80.042347000000007
505451,Telangana,Karimnagar,18.4894877,79.0947986
505469,Telangana,Karimnagar,18.3728535,79.2096301
505002,Telangana,Karimnagar,18.402556,79.184669
505481,Telangana,Karimnagar,18.3500004,79.1604444
505531,Telangana,Karimnagar,18.5852567,79.0595369
505473,Telangana,Siddipet,18.1042422,79.0576095
505530,Telangana,Karimnagar,18.3436993,79.0519492
509130,Telangana,Narayanpet,16.5150834,77.6908329
509127,Telangana,Jogulamba Gadwal,16.0042685,77.6977578
509133,Telangana,Jogulamba Gadwal,16.2335964,77.6954571
509129,Telangana,Jogulamba Gadwal,16.0959551,77.5545328
509128,Telangana,Jogulamba Gadwal,15.8862931,78.0160458
509132,Telangana,Jogulamba Gadwal,16.1299233,77.692679
509126,Telangana,Jogulamba Gadwal,15.9874909,77.815323
509153,Telangana,Jogulamba Gadwal,15.9729205,78.0878605
509135,Telangana,Jogulamba Gadwal,16.237775,77.804154
509382,Telangana,Mahabubnagar,16.6443082,78.0666383
509407,Telangana,Narayanpet,16.820736,77.5083907
509204,Telangana,Mahabubnagar,16.6232388,77.8405499
509205,Telangana,Mahabubnagar,16.688286,77.9186519
509334,Telangana,Mahabubnagar,16.830585,77.9137221
509350,Telangana,Vikarabad,17.0542559,77.6525544
509353,TELANGANA,Narayanpet,16.5092612,77.6003029
509338,Telangana,Vikarabad,17.0917731,77.6396876
509371,Telangana,Mahabubnagar,16.7916723,77.8183673
509339,Telangana,Vikarabad,17.0881553,77.8807708
509352,TELANGANA,Narayanpet,16.4138120,77.3481542
509409,Telangana,Nagarkurnool,16.5822821,78.2154198
509411,Telangana,Narayanpet,16.8588186,77.6134806
509208,Telangana,Narayanpet,16.5054517,77.5122877
509351,Telangana,Narayanpet,16.6670259,77.7430432
509337,Telangana,Mahabubnagar,16.915636,77.8132222
509380,Telangana,Wanaparthy,16.3616381,78.0625491
509210,Telangana,Narayanpet,16.753907,77.573225
509340,Telangana,Mahabubnagar,16.7780667,78.131195
509336,Telangana,Vikarabad,16.9578766,77.5728616
502255,Telangana,Medak,17.9720591,78.4598936
502113,Telangana,Medak,18.0925225,78.3195564
502336,Telangana,Siddipet,18.1110781,78.9245759
502130,Telangana,Medak,18.0858303,78.1818075
502109,Telangana,Medak,18.0210012,78.2522419
502247,Telangana,Medak,17.9510863,78.5191798
502335,Telangana,Medak,17.9068482,78.4633969
502248,Telangana,Medak,18.0198092,78.410161
502381,Telangana,Medak,17.9471478,78.1496566
502302,Telangana,Medak,17.9337139,78.0467637
502334,Telangana,Siddipet,18.172829,78.663415
502331,Telangana,Medak,18.0503854,78.1561415
502108,Telangana,Siddipet,18.1370978,78.662288
502277,Telangana,Siddipet,18.0348138,78.8762999
502278,Telangana,Siddipet,18.172829,78.663415
502306,Telangana,Sangareddy,17.5521527,78.0087501
502267,Telangana,Siddipet,18.1110781,78.9245759
502114,Telangana,Siddipet,18.0818714,78.7529566
502281,Telangana,Siddipet,17.8439569,78.6987437
502312,Telangana,Siddipet,18.1110781,78.9245759
503122,Telangana,Kamareddy,18.198368,78.0132404
502276,Telangana,Siddipet,18.1770065,78.8673956
502372,Telangana,Siddipet,18.1110781,78.9245759
502311,Telangana,Siddipet,17.7920696,78.7887145
502280,Telangana,Siddipet,18.1110781,78.9245759
502102,Telangana,Medak,18.0811274,78.5656772
502279,Telangana,Siddipet,17.8811694,79.0430026
502107,Telangana,Siddipet,18.1608223,78.8069092
508101,Telangana,Yadadri Bhuvanagiri,17.5315749,79.1098772
508111,Telangana,Yadadri Bhuvanagiri,17.4555263,79.1926875
508244,Telangana,Nalgonda,17.2295082,79.1325607
508105,Telangana,Yadadri Bhuvanagiri,17.7208848,78.9592829
508117,Telangana,Yadadri Bhuvanagiri,17.455957,79.258746
508126,Telangana,Yadadri Bhuvanagiri,17.5194148,78.7760033
508277,Telangana,Yadadri Bhuvanagiri,17.4473699,79.2717004
508284,Telangana,Yadadri Bhuvanagiri,17.3584526,78.8571247
508113,Telangana,Yadadri Bhuvanagiri,17.302982,79.0933846
508112,Telangana,Yadadri Bhuvanagiri,17.3765381,79.0648305
508286,Telangana,Yadadri Bhuvanagiri,17.5487999,79.0251739
508255,Telangana,Nalgonda,16.9833146,79.0623224
508250,Telangana,Nalgonda,16.8251954,78.8342397
508114,Telangana,Nalgonda,17.2113184,79.0730139
508252,Telangana,Yadadri Bhuvanagiri,17.2684047,78.9135749
508248,Telangana,Nalgonda,16.6086768,78.8825241
508258,Telangana,Nalgonda,16.7618541,79.0328192
508257,Telangana,Nalgonda,16.7977273,79.0387019
508377,Telangana,Nalgonda,16.7772284,79.3180884
508243,Telangana,Nalgonda,16.7147204,78.9706791
508245,Telangana,Nalgonda,17.0394935,79.0722286
508373,Telangana,Nalgonda,16.8862748,78.9608692
508254,Telangana,Nalgonda,17.2315122,79.1511633
508266,Telangana,Nalgonda,16.8909469,79.3056756
508002,Telangana,Nalgonda,17.0019824,79.2337919
503307,Telangana,Nizamabad,18.6512273,78.5301102
503175,Telangana,Nizamabad,18.6195318,78.1988979
503164,Telangana,Nizamabad,18.534024,78.2394931
503110,Telangana,Kamareddy,18.3226987,78.3377444
503218,Telangana,Nizamabad,18.8915087,78.3494121
503213,Telangana,Nizamabad,18.7504652,78.1112845
503212,Telangana,Nizamabad,18.9067271,78.1691328
503219,Telangana,Nirmal,19.0417335,78.6487894
503311,Telangana,Nizamabad,18.6764254,78.1011971
503223,Telangana,Nizamabad,18.6764254,78.1011971
503187,Telangana,Kamareddy,18.3863085,77.8850371
503112,Telangana,Kamareddy,18.316883,78.335682
503309,Telangana,Kamareddy,18.5151727,77.6736577
503108,Telangana,Kamareddy,18.109224,78.1309193
